"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4","Reabs_Ca","Reabs_PO4","Ca_pf","Ca_fp","PO4_pf","PO4_fp","PO4_pc","PO4_cp"
"21",20,1287.96786279884,0.0688131760059197,564.270824123997,16.7812725033201,1.20605962070565,1.83627232094574,250.012353405799,1.47828058949556,0.792172140864389,90.0020032690857,2.77189757852438,0.105970005759357,0.00373695548539807,0.0108810098036361,0.0864753091913142,0.00304948913344546,1.45176455695475,0.913740354925134,2.49131214870879,2.83550891546908,0,0,3.90633072519464e-05,0.000396993342366447,0.000982990206844334,0.000823374188063248,0.000392286428491379,0.000117685928547414,0.00100994977652016,0.000217847338737707,0.00259246985664886,0.00460646246896445,0.00530666233110486,0.00429687723101303,0.199567879581901,0.199350119248524,0.00277177610530417,0.00277189757852438
"22",21,1287.95965679611,0.0688129168798314,564.271062122617,16.7812807526421,1.20605953319937,1.83627217168012,250.012971069167,1.4782804546812,0.792172069168829,90.0021034305043,2.77189745698547,0.105969988406168,0.00373695487344641,0.0108810080000271,0.0864752943355272,0.00304948860956697,1.45176446436056,0.913740271595094,2.49131194883957,2.83550867755593,0,0,3.90633279549722e-05,0.000396993742726523,0.000982990412349376,0.000823374284588343,0.000392286306476609,0.000117685891942983,0.00100994969442407,0.000217847319021428,0.00259246962500299,0.00460646159638529,0.00530666194607721,0.00429687688173149,0.199567861381961,0.199350101206336,0.00277177585252724,0.00277189745698547
"23",22,1287.95174692912,0.0688126603359805,564.271299135441,16.7812890526178,1.20605945214517,1.83627202248542,250.013588732574,1.47828031960185,0.792171997344639,90.0022035919395,2.77189733531512,0.105969971600968,0.00373695428081996,0.0108810062565674,0.0864752794690388,0.00304948808531109,1.45176437859406,0.913740188101266,2.4913117628776,2.83550843984147,0,0,3.90633488310762e-05,0.000396994146636932,0.000982990617003146,0.000823374380713599,0.000392286186263929,0.000117685855879179,0.00100994961236698,0.000217847299269776,0.00259246940722285,0.00460646072053287,0.00530666158943876,0.00429687653261588,0.199567843146249,0.199350083131778,0.00277177559925346,0.00277189733531512
"24",23,1287.94412268743,0.0688124081960157,564.271535173536,16.7812974018287,1.20605937638261,1.83627187338601,250.014206396017,1.47828018425219,0.79217192538788,90.0023037533903,2.77189721351297,0.105969955241392,0.00373695370390874,0.0108810045622289,0.0864752645925678,0.00304948756070318,1.4517642984272,0.913740104440358,2.49131158831734,2.83550820220007,0,0,3.90633696059214e-05,0.000396994554306914,0.000982990820815202,0.000823374476443504,0.000392286069424784,0.000117685820827435,0.00100994953036231,0.000217847279481667,0.0025924692010499,0.00460645984096878,0.00530666125608348,0.00429687618372328,0.199567824874045,0.19935006502386,0.00277177534547285,0.00277189721351297
"25",24,1287.93677369985,0.068812161729571,564.271770252471,16.7813057988811,1.20605930502369,1.83627172440231,250.014824059492,1.47828004862727,0.792171853294991,90.0024039148556,2.77189709157866,0.105969939249051,0.00373695313994823,0.0108810029081908,0.086475249706686,0.00304948703576341,1.45176422292025,0.913740020609311,2.49131142324113,2.83550796453377,0,0,3.90633900827956e-05,0.000396994965855502,0.000982991023798987,0.000823374571784373,0.000392285957057792,0.000117685787117338,0.00100994944842127,0.000217847259656123,0.00259246900474259,0.00460645895739566,0.00530666094210425,0.0042968758351014,0.199567806564681,0.199350046881685,0.00277177509117613,0.00277189709157866
"26",25,1287.92969212707,0.0688119216023639,564.272004386603,16.7813142427232,1.20605923754035,1.83627157554765,250.015441722996,1.47827991272354,0.792171781063478,90.0025040763343,2.77189696951188,0.105969923577283,0.00373695258729284,0.0108810012891325,0.0864752348117498,0.00304948651050433,1.45176415151437,0.913739936605932,2.49131126650843,2.83550772678318,0,0,3.90634101542092e-05,0.000396995381323867,0.0009829912259669,0.000823374666742029,0.000392285849741664,0.000117685754922499,0.00100994936655121,0.000217847239792456,0.00259246881725564,0.00460645806966423,0.00530666064517754,0.0042968754867815,0.199567788217678,0.199350028704624,0.00277177483635664,0.00277189696951188
"27",26,1287.92286693726,0.0688116885228019,564.272237598139,16.7813227318736,1.20605917330058,1.83627142683923,250.016059386524,1.47827977653614,0.792171708689969,90.0026042378246,2.7718968473122,0.105969908170199,0.00373695204397163,0.0108809996987061,0.0864752199082011,0.00304948598494154,1.45176408354075,0.913739852427215,2.49131111675421,2.83550748887623,0,0,3.90634297009133e-05,0.000396995800731905,0.000982991427338114,0.000823374761325478,0.000392285748095159,0.000117685724428548,0.00100994928476158,0.000217847219889742,0.00259246863732859,0.00460645717762316,0.00530666036252256,0.00429687513880379,0.19956776983238,0.199350010491831,0.00277177458100527,0.0027718968473122
"28",27,1287.91628685707,0.068811462925848,564.2724699123,16.7813312648148,1.20605911179918,1.83627127829259,250.016677050068,1.47827964006026,0.79217163617119,90.0027043993247,2.77189672497916,0.105969892983058,0.00373695150840671,0.0108809981318587,0.0864752049964144,0.00304948545908824,1.45176401846477,0.913739768070183,2.49131097288727,2.83550725075377,0,0,3.90634486415466e-05,0.000396996224051651,0.000982991627934411,0.000823374855544951,0.000392285652503144,0.000117685695750943,0.00100994920306093,0.000217847199947077,0.00259246846393974,0.00460645628119217,0.00530666009191639,0.00429687479120467,0.199567751408135,0.19934999224248,0.00277177432511299,0.00277189672497916
"29",28,1287.90994222948,0.0688112448876469,564.272701353282,16.7813398402398,1.20605905274778,1.83627112991896,250.017294713623,1.47827950329191,0.79217156350452,90.0028045608324,2.77189660251235,0.105969877990233,0.00373695097969434,0.0108809965857245,0.0864751900766317,0.00304948493295297,1.45176395598125,0.913739683532375,2.49131083428468,2.83550701237993,0,0,3.90634669479711e-05,0.000396996651209387,0.000982991827776683,0.00082337494941026,0.000392285563041439,0.000117685668912432,0.00100994912145543,0.000217847179963743,0.00259246829648744,0.00460645538037904,0.00530665983209021,0.00429687444401036,0.199567732944408,0.199349973955913,0.00277177406867233,0.00277189660251235
"30",29,1287.90382410416,0.0688110343295891,564.2729319448,16.7813484569279,1.20605899595166,1.83627098172767,250.017912377183,1.47827936622755,0.79217149068763,90.0029047223461,2.77189647991135,0.105969863174359,0.00373695045722214,0.010880995058381,0.0864751751490388,0.00304948440654227,1.45176389588415,0.9137395988116,2.49131070052577,2.83550677372911,0,0,3.90634846150125e-05,0.000396997082111438,0.000982992026885407,0.000823375042931024,0.000392285479652559,0.000117685643895768,0.00100994903995022,0.000217847159939098,0.00259246813455146,0.00460645447523002,0.00530665958218729,0.00429687409724274,0.199567714440719,0.199349955631542,0.00277177381167665,0.00277189647991135
